
2026-03-03,1873.199951171875,24865.69921875
2026-03-04,1905.9000244140625,24480.5
2026-03-05,1907.0,24765.900390625
2026-03-06,1870.800048828125,24450.44921875
2026-03-07,1870.800048828125,24450.44921875
2026-03-08,1870.800048828125,24450.44921875
2026-03-09,1866.699951171875,24028.05078125
2026-03-10,1850.4000244140625,24261.599609375
2026-03-11,1807.0,23866.849609375
2026-03-12,1801.300048828125,23639.150390625
2026-03-13,1803.4000244140625,23151.099609375
2026-03-14,1803.4000244140625,23151.099609375
2026-03-15,1803.4000244140625,23151.099609375
2026-03-16,1788.800048828125,23408.80078125
2026-03-17,1827.0,23581.150390625
2026-03-18,1855.4000244140625,23777.80078125
2026-03-19,1827.0,23002.150390625
2026-03-20,1846.0999755859375,23114.5
2026-03-21,1846.0999755859375,23114.5
2026-03-22,1846.0999755859375,23114.5
2026-03-23,1795.9000244140625,22512.650390625
2026-03-24,1802.0999755859375,22912.400390625
2026-03-25,1834.9000244140625,23306.44921875
2026-03-26,1834.9000244140625,23306.44921875
2026-03-27,1843.9000244140625,22819.599609375
2026-03-28,1843.9000244140625,22819.599609375
2026-03-29,1843.9000244140625,22819.599609375
2026-03-30,1782.4000244140625,22331.400390625
